Model,Features,Accuracy,F1-Macro,P-Macro,R-Macro,P-Bearish,R-Bearish,P-Bullish,R-Bullish,P-Neutral,R-Neutral
"KNN (k=5, cosine)",BoW Binary (lem),0.7679,0.67,0.6927,0.6544,0.606,0.465,0.642,0.61,0.83,0.888
"Logistic Regression (L1, C=0.1)",BoW Count (stem),0.7412,0.6686,0.6611,0.6809,0.476,0.597,0.658,0.639,0.849,0.807
Naive Bayes - ComplementNB,BoW Binary (stem),0.7344,0.6665,0.6544,0.6843,0.545,0.587,0.559,0.681,0.859,0.786
"KNN (k=5, cosine)",BoW Count (stem),0.7611,0.6639,0.6838,0.65,0.6,0.469,0.624,0.603,0.828,0.879
"Logistic Regression (L1, C=0.1)",BoW Binary (lem),0.7339,0.6551,0.6484,0.6662,0.443,0.552,0.653,0.642,0.849,0.805
"Logistic Regression (L1, C=0.1)",BoW Count (lem),0.7318,0.652,0.6495,0.66,0.46,0.576,0.651,0.592,0.837,0.811
"KNN (k=5, cosine)",BoW Count (lem),0.7528,0.6474,0.6719,0.6326,0.594,0.427,0.6,0.592,0.821,0.879
"KNN (k=15, distance)",BoW Binary (stem),0.7716,0.6452,0.7425,0.6097,0.752,0.337,0.684,0.551,0.792,0.942
"KNN (k=15, distance)",BoW Count (stem),0.7679,0.6443,0.7359,0.6126,0.738,0.323,0.679,0.587,0.791,0.928
"KNN (k=15, distance)",BoW Binary (lem),0.7732,0.6436,0.7464,0.607,0.754,0.33,0.694,0.543,0.791,0.948
MLP (256),GloVe (lem),0.7486,0.636,0.6758,0.6125,0.579,0.469,0.652,0.468,0.796,0.901
MLP (512->256),GloVe (lem),0.7512,0.633,0.6768,0.608,0.564,0.441,0.669,0.473,0.797,0.91
"LightGBM (500 trees, leaves=63)",GloVe (lem),0.7643,0.6322,0.7114,0.5979,0.667,0.361,0.676,0.488,0.791,0.944
"XGBoost (lr=0.1, 200 trees)",GloVe (lem),0.748,0.6292,0.6634,0.6082,0.556,0.399,0.63,0.527,0.804,0.898
"LightGBM (200 trees, leaves=31)",GloVe (lem),0.7517,0.6291,0.6685,0.6065,0.577,0.392,0.623,0.519,0.806,0.908
"XGBoost (lr=0.05, 500 trees)",GloVe (lem),0.7496,0.6256,0.6667,0.6025,0.565,0.378,0.634,0.522,0.801,0.907
MLP (512->256),GloVe (stem),0.7449,0.6232,0.6655,0.6013,0.594,0.372,0.602,0.535,0.8,0.897
"KNN (k=15, distance)",BoW Count (lem),0.758,0.6224,0.7209,0.5933,0.728,0.288,0.65,0.564,0.785,0.928
MLP (256),GloVe (stem),0.7491,0.6218,0.6779,0.5936,0.596,0.368,0.65,0.496,0.788,0.917
"LightGBM (200 trees, leaves=31)",GloVe (stem),0.7449,0.6188,0.6673,0.5945,0.583,0.354,0.627,0.525,0.792,0.905
"Logistic Regression (L1, C=0.1)",TF-IDF Uni (stem),0.7145,0.6181,0.627,0.612,0.471,0.486,0.613,0.522,0.797,0.828
SVM - LinearSVC (C=0.1),GloVe (lem),0.7156,0.6135,0.6194,0.6089,0.481,0.486,0.569,0.506,0.809,0.834
"XGBoost (lr=0.1, 200 trees)",GloVe (stem),0.7391,0.6123,0.6555,0.5903,0.562,0.347,0.613,0.527,0.791,0.896
SVM - LinearSVC (C=1.0),GloVe (lem),0.7129,0.6114,0.6161,0.6076,0.478,0.479,0.562,0.514,0.808,0.829
"XGBoost (lr=0.05, 500 trees)",GloVe (stem),0.7407,0.6101,0.6582,0.5858,0.559,0.347,0.628,0.504,0.788,0.906
"Logistic Regression (L1, C=0.1)",TF-IDF Uni (lem),0.7019,0.5965,0.609,0.5888,0.44,0.458,0.601,0.481,0.786,0.828
"Logistic Regression (L1, C=0.1)",TF-IDF Bi (stem),0.6983,0.5933,0.6058,0.5864,0.43,0.458,0.603,0.478,0.784,0.823
"Logistic Regression (L1, C=0.1)",GloVe (lem),0.6537,0.5892,0.5763,0.6284,0.389,0.608,0.484,0.595,0.856,0.683
"KNN (k=5, cosine)",GloVe (lem),0.7098,0.5864,0.5924,0.5826,0.427,0.358,0.53,0.548,0.82,0.842
"XGBoost (lr=0.1, 200 trees)",W2V SG (stem),0.7156,0.5857,0.593,0.5848,0.404,0.299,0.553,0.61,0.822,0.845
"LightGBM (500 trees, leaves=63)",GloVe (stem),0.7412,0.5839,0.6842,0.5516,0.619,0.271,0.671,0.439,0.763,0.945
"KNN (k=5, cosine)",GloVe (stem),0.6941,0.5838,0.5842,0.5837,0.422,0.403,0.52,0.538,0.811,0.811
"KNN (k=15, distance)",GloVe (stem),0.736,0.5816,0.6574,0.5573,0.598,0.264,0.596,0.483,0.778,0.925
"KNN (k=15, distance)",GloVe (lem),0.7391,0.5811,0.6473,0.561,0.57,0.253,0.581,0.504,0.791,0.926
"LightGBM (200 trees, leaves=31)",W2V SG (stem),0.715,0.5776,0.5933,0.5742,0.427,0.274,0.54,0.592,0.813,0.856
"XGBoost (lr=0.05, 500 trees)",W2V SG (stem),0.7182,0.5772,0.5936,0.5743,0.422,0.264,0.542,0.597,0.816,0.862
SVM - LinearSVC (C=0.1),GloVe (stem),0.6867,0.5771,0.5843,0.5713,0.469,0.413,0.499,0.488,0.786,0.812
"Logistic Regression (L1, C=0.1)",TF-IDF Bi (lem),0.6883,0.575,0.5958,0.5675,0.394,0.451,0.617,0.426,0.777,0.825
SVM - LinearSVC (C=1.0),GloVe (stem),0.6857,0.5743,0.5814,0.5687,0.458,0.403,0.5,0.491,0.786,0.812
"Logistic Regression (L2, C=1)",GloVe (lem),0.637,0.5734,0.5619,0.613,0.37,0.59,0.471,0.584,0.845,0.664
"LightGBM (200 trees, leaves=31)",W2V SG (lem),0.7093,0.5717,0.5755,0.5712,0.368,0.295,0.526,0.569,0.832,0.85
"LightGBM (500 trees, leaves=63)",W2V SG (stem),0.7328,0.5707,0.6132,0.562,0.466,0.212,0.572,0.569,0.802,0.905
"XGBoost (lr=0.1, 200 trees)",W2V SG (lem),0.7046,0.5705,0.5706,0.5738,0.364,0.306,0.503,0.579,0.845,0.837
"XGBoost (lr=0.05, 500 trees)",W2V SG (lem),0.7067,0.5665,0.5694,0.5668,0.356,0.288,0.517,0.564,0.835,0.849
"LightGBM (500 trees, leaves=63)",W2V SG (lem),0.7203,0.5618,0.5868,0.5531,0.408,0.24,0.546,0.527,0.806,0.892
"KNN (k=15, distance)",W2V SG (lem),0.7313,0.5577,0.613,0.5418,0.45,0.201,0.606,0.496,0.783,0.928
"Logistic Regression (L2, C=1)",GloVe (stem),0.6103,0.5501,0.5409,0.5915,0.345,0.569,0.451,0.574,0.827,0.631
"Logistic Regression (L1, C=0.1)",GloVe (stem),0.6139,0.5501,0.5408,0.5884,0.34,0.545,0.453,0.579,0.829,0.641
"Random Forest (500 trees, depth=20)",W2V SG (stem),0.7334,0.5468,0.6226,0.5388,0.506,0.153,0.577,0.532,0.785,0.931
"KNN (k=5, cosine)",W2V SG (lem),0.6883,0.5446,0.5499,0.5414,0.325,0.267,0.52,0.517,0.805,0.84
SVM - LinearSVC (C=1.0),W2V SG (stem),0.7019,0.5442,0.5799,0.5368,0.435,0.208,0.527,0.532,0.778,0.87
